service_id,date,exception_type
1,20240701,2
1,20240805,2
1101,20240624,1
1101,20240625,1
1101,20240626,1
1101,20240627,1
1101,20240702,1
1101,20240703,1
1101,20240704,1
1101,20240708,1
1101,20240709,1
1101,20240710,1
1101,20240711,1
1101,20240715,1
1101,20240716,1
1101,20240717,1
1101,20240718,1
1101,20240722,1
1101,20240723,1
1101,20240724,1
1101,20240725,1
1101,20240729,1
1101,20240730,1
1101,20240731,1
1101,20240801,1
1101,20240806,1
1101,20240807,1
1101,20240808,1
1101,20240812,1
1101,20240813,1
1101,20240814,1
1101,20240815,1
1101,20240819,1
1101,20240820,1
1101,20240821,1
1101,20240822,1
1101,20240826,1
1101,20240827,1
1101,20240828,1
1101,20240829,1
118401,20240628,1
118401,20240705,1
118401,20240712,1
118401,20240719,1
118401,20240726,1
118401,20240802,1
118401,20240809,1
118401,20240816,1
118401,20240823,1
118401,20240830,1
118402,20240629,1
118402,20240706,1
118402,20240713,1
118402,20240720,1
118402,20240727,1
118402,20240803,1
118402,20240810,1
118402,20240817,1
118402,20240824,1
118402,20240831,1
118403,20240630,1
118403,20240701,1
118403,20240707,1
118403,20240714,1
118403,20240721,1
118403,20240728,1
118403,20240804,1
118403,20240805,1
118403,20240811,1
118403,20240818,1
118403,20240825,1
118403,20240901,1
1201,20240628,1
1201,20240705,1
1201,20240712,1
1201,20240719,1
1201,20240726,1
1201,20240802,1
1201,20240809,1
1201,20240816,1
1201,20240823,1
1201,20240830,1
152201,20240624,1
152201,20240625,1
152201,20240626,1
152201,20240627,1
152201,20240702,1
152201,20240703,1
152201,20240704,1
152201,20240708,1
152201,20240709,1
152201,20240710,1
152201,20240711,1
152201,20240715,1
152201,20240716,1
152201,20240717,1
152201,20240718,1
152201,20240722,1
152201,20240723,1
152201,20240724,1
152201,20240725,1
152201,20240729,1
152201,20240730,1
152201,20240731,1
152201,20240801,1
152201,20240806,1
152201,20240807,1
152201,20240808,1
152201,20240812,1
152201,20240813,1
152201,20240814,1
152201,20240815,1
152201,20240819,1
152201,20240820,1
152201,20240821,1
152201,20240822,1
152201,20240826,1
152201,20240827,1
152201,20240828,1
152201,20240829,1
152301,20240628,1
152301,20240705,1
152301,20240712,1
152301,20240719,1
152301,20240726,1
152301,20240802,1
152301,20240809,1
152301,20240816,1
152301,20240823,1
152301,20240830,1
155601,20240624,1
155601,20240625,1
155601,20240626,1
155601,20240627,1
155601,20240628,1
155601,20240702,1
155601,20240703,1
155601,20240704,1
155601,20240705,1
155601,20240708,1
155601,20240709,1
155601,20240710,1
155601,20240711,1
155601,20240712,1
155601,20240715,1
155601,20240716,1
155601,20240717,1
155601,20240718,1
155601,20240719,1
155601,20240722,1
155601,20240723,1
155601,20240724,1
155601,20240725,1
155601,20240726,1
155601,20240729,1
155601,20240730,1
155601,20240731,1
155601,20240801,1
155601,20240802,1
155601,20240806,1
155601,20240807,1
155601,20240808,1
155601,20240809,1
155601,20240812,1
155601,20240813,1
155601,20240814,1
155601,20240815,1
155601,20240816,1
155601,20240819,1
155601,20240820,1
155601,20240821,1
155601,20240822,1
155601,20240823,1
155601,20240826,1
155601,20240827,1
155601,20240828,1
155601,20240829,1
155601,20240830,1
162503,20240701,1
162503,20240805,1
162601,20240628,1
162601,20240705,1
162601,20240712,1
162601,20240719,1
162601,20240726,1
162601,20240802,1
162601,20240809,1
162601,20240816,1
162601,20240823,1
162601,20240830,1
169801,20240627,1
169801,20240628,1
169801,20240705,1
169801,20240712,1
169801,20240719,1
169801,20240726,1
169801,20240801,1
169801,20240802,1
169801,20240809,1
169801,20240816,1
169801,20240823,1
169801,20240830,1
1803,20240630,1
1803,20240804,1
1803,20240901,1
253403,20240630,1
253403,20240701,1
253403,20240707,1
253403,20240714,1
253403,20240721,1
253403,20240728,1
253403,20240804,1
253403,20240805,1
253403,20240811,1
253403,20240818,1
253403,20240825,1
253403,20240901,1
259801,20240624,1
259801,20240625,1
259801,20240626,1
259801,20240627,1
259801,20240628,1
259801,20240702,1
259801,20240703,1
259801,20240704,1
259801,20240705,1
259801,20240708,1
259801,20240709,1
259801,20240710,1
259801,20240711,1
259801,20240712,1
259801,20240715,1
259801,20240716,1
259801,20240717,1
259801,20240718,1
259801,20240719,1
259801,20240722,1
259801,20240723,1
259801,20240724,1
259801,20240725,1
259801,20240726,1
259801,20240729,1
259801,20240730,1
259801,20240731,1
259801,20240801,1
259801,20240802,1
259801,20240806,1
259801,20240807,1
259801,20240808,1
259801,20240809,1
259801,20240812,1
259801,20240813,1
259801,20240814,1
259801,20240815,1
259801,20240816,1
259801,20240819,1
259801,20240820,1
259801,20240821,1
259801,20240822,1
259801,20240823,1
259801,20240826,1
259801,20240827,1
259801,20240828,1
259801,20240829,1
259801,20240830,1
259802,20240629,1
259802,20240706,1
259802,20240713,1
259802,20240720,1
259802,20240727,1
259802,20240803,1
259802,20240810,1
259802,20240817,1
259802,20240824,1
259802,20240831,1
259803,20240630,1
259803,20240701,1
259803,20240707,1
259803,20240714,1
259803,20240721,1
259803,20240728,1
259803,20240804,1
259803,20240805,1
259803,20240811,1
259803,20240818,1
259803,20240825,1
259803,20240901,1
3,20240701,1
3,20240805,1
32603,20240701,1
32603,20240707,1
32603,20240714,1
32603,20240721,1
32603,20240728,1
32603,20240805,1
32603,20240811,1
32603,20240818,1
32603,20240825,1
49601,20240820,1
49601,20240821,1
49601,20240822,1
49601,20240823,1
49601,20240827,1
49601,20240828,1
49601,20240829,1
49601,20240830,1
49602,20240817,1
49602,20240824,1
49602,20240831,1
49603,20240818,1
49603,20240825,1
49603,20240901,1
